Frequency [Hz],A2,AY1,AY2,AY3,AY5,AY6,AY7,R1,R2,AZ2,AZ4,AZ5,AZ6,AZ7,E11,E12,E13,A4,A5,A6,A7,A8,A9,A10
4.125,6.045370318937912,4.657358648525032,4.106885296158134,3.396122736097972,1.052322976569571,0.7976178589554119,1.0925573591869089,1.2271289852978113,1.2425314422683562,1.1986880479909274,1.2827061780248334,1.206836141264617,1.2343838224877972,1.2267734534155388,5.4352408159660515,3.869855006172097,1.0083524901721477,5.722540151099644,5.232188159732321,4.2819189933129325,2.853166390107429,1.555318603804089,1.0262144575191388,4.999642002374195
4.25,9.761570116072678,5.747312634322406,4.948439463729848,3.913779585326915,0.6757980426831437,0.883016437935632,1.2077063641515153,1.2634776042101088,1.2579200817432117,1.2427823808678933,1.2611791820950717,1.2445798870985596,1.2355081874963898,1.2255388111902061,8.695879210741646,5.401249475093642,1.0143935646056719,9.127827027848108,8.0423653795763,5.988535976997785,3.3144616223131877,1.116961583060155,1.0044515634407054,6.268571104837587
4.375,8.595658029279253,2.4832499958011898,2.169711236899835,1.7297621825421572,0.7872200761288479,0.8382271919272897,0.9654613625185301,1.2141666742735462,1.086835917251749,1.1010529275522616,1.269610968253078,1.1877788982815147,1.1828269671139133,1.206816986736422,7.8423357025331875,4.766448714394917,1.0180225546388753,7.973151316877548,6.986027506761452,5.1792146814957825,2.855397289306709,1.0558816199828398,1.0076235860048701,2.619548180444284
4.5,5.967287546392101,3.796808580791587,3.191023591829424,2.3832158857276866,0.3694448460750071,0.9032504638943099,1.2200098361887746,1.2550063848731419,1.2418308334336337,1.242383629707868,1.2539787852714306,1.2375565688707597,1.2316862311049237,1.2206841105699422,5.439250700384736,2.988972403149028,1.0087948288717135,5.459896746856347,4.667076703766745,3.2701433665855895,1.5105180849189073,0.37690999769733025,1.0043150264147964,4.16537487248223
4.625,3.4306928635872564,2.0676279178854915,1.813295339746245,1.442232332386823,0.7735582574091064,0.816542307010711,1.2418393174507443,1.2143886782399158,1.1298752229863607,1.1999849002789114,1.1845738192417472,1.2135975108792898,1.2358977343965687,1.210305754036199,3.2075648922109106,1.7111385184105874,0.989419985584318,3.116497431248268,2.6379467895747135,1.8147903547996518,0.940316854695583,0.8329603074229351,1.0050748852617255,2.2678532427975644
4.75,4.330539570241872,2.774910862016134,2.294810430323912,1.6532494292591147,0.4898651629617606,0.9018768143922352,1.2796936945240454,1.2617495831477668,1.2487164492855476,1.2661891949400983,1.2492702852467905,1.2506736101914615,1.2456971862225195,1.2243365091140235,3.966400213053906,2.0671166033883224,1.0138419357807342,3.9433212192062275,3.339140639332248,2.256625727324098,0.9049654804845534,0.5108330119885316,1.008473614005411,3.03946916189026
4.875,1.476108325472726,1.5133452446006133,1.282651268837059,0.9567315193667618,0.619037124676816,0.7835669979797931,1.259096195470595,1.242974702931858,1.2210880965352753,1.2557478622943863,1.2586783253102758,1.2563776015322121,1.2653933776654696,1.252326666830008,1.3736740972249823,0.5285960588594585,0.9986192903305683,1.2689694410613244,0.940152583404575,0.4577880419928302,0.4639587113085477,0.8443995637374165,1.0163050129173725,1.738084334689316
5.0,2.8833458085981434,2.0010432108037137,1.6065400029426251,1.083838230537065,0.5777389544474717,0.915806542968903,1.2626383533847712,1.2510636407156164,1.24169188791282,1.2581532086917726,1.24029632215633,1.2397318698160464,1.2372562439886088,1.2266341926763322,2.6040280122720314,1.1913512619238003,1.0160782774358281,2.5838624946900532,2.1386895368975116,1.3497570364959575,0.38274901726781557,0.6472634500167553,1.0158739609671081,2.229843516763371
5.125,1.0967878350048248,0.7797526673867369,0.5874632952230354,0.2437462099090132,0.7125316691321731,0.8634035385226624,1.2553987323952311,1.2392851226617196,1.182576019912442,1.2290610998106641,1.2082980976981939,1.2073589150432216,1.201824453975496,1.2172303306064074,0.5895447635965599,0.15734329397320723,1.010296116362355,0.9748361171791661,0.7113326145534996,0.2131106690302029,0.49911990127327577,0.9294093470655709,1.0112350478252377,0.8675733735984243
5.25,2.232020440669954,1.6682346684172003,1.310784120489896,0.838659648077543,0.6219052978564991,0.8966306548868175,1.2598427925261513,1.2479493092430427,1.2451647370819217,1.2585187361481607,1.2256673404661254,1.2260922801267378,1.2206871386476927,1.2195703727157896,2.0351057848178344,0.8132895378901933,1.016948795864589,1.971578645890461,1.586161542782113,0.903558864592201,0.15905133963127807,0.7243662678246161,1.0170306631403399,1.8635922399648304
5.375,1.9566309016824903,0.7114952818518994,0.5083208374101938,0.24675245975183854,0.7196164800192381,0.8598604926346035,1.2313869421160122,1.2164330516462145,1.202649253321643,1.2219300377475701,1.2028349454834493,1.1975238883877135,1.1947354276037627,1.1984171564788946,1.531284783409967,0.5414269864070725,1.0200482159815403,1.7495211787943066,1.3946771435947447,0.7416518376323346,0.14351492329580093,0.7878440276968292,1.0169319430110415,0.8590679102209288
5.5,2.0007918925295733,1.2580257608252765,0.9479176514355737,0.55202186476656,0.6848917958655648,0.9181643698989614,1.2684827702225971,1.2438212855952684,1.2414136305384318,1.262693167071335,1.230881025854365,1.2335079124876691,1.2243314960788723,1.2249315464993058,1.798196147222068,0.637767892880863,1.0131982135877073,1.7517917778124794,1.380092083459272,0.7508247155542843,0.1605321330546089,0.7515061603194334,1.0170881291378668,1.3860651753219406
